tubeID,type,temp,block,replicate,tray,pair,i,j,densityT,FocalSp,i.ind,FocalSp_Den,OtherSp,j.ind,OtherSp_Den,obs_count
627,intra,HOT,HOTA,HOTA3,HOT_T2,PST_NaN,PST,NaN,i2j0,PST,4,4,NA,0,0,0
628,intra,HOT,HOTA,HOTA3,HOT_T2,PST_NaN,PST,NaN,i4j0,PST,4,8,NA,0,0,0
629,intra,HOT,HOTA,HOTA3,HOT_T2,PST_NaN,PST,NaN,i8j0,PST,4,16,NA,0,0,0
630,intra,HOT,HOTB,HOTB4,HOT_T4,PST_NaN,PST,NaN,i2j0,PST,4,4,NA,0,0,0
631,intra,HOT,HOTB,HOTB4,HOT_T4,PST_NaN,PST,NaN,i4j0,PST,4,8,NA,0,0,0
632,intra,HOT,HOTB,HOTB4,HOT_T4,PST_NaN,PST,NaN,i8j0,PST,4,16,NA,0,0,0
633,intra,HOT,HOTB,HOTB5,HOT_T4,PST_NaN,PST,NaN,i2j0,PST,4,4,NA,0,0,0
634,intra,HOT,HOTB,HOTB5,HOT_T4,PST_NaN,PST,NaN,i4j0,PST,4,8,NA,0,0,0
635,intra,HOT,HOTB,HOTB5,HOT_T4,PST_NaN,PST,NaN,i8j0,PST,4,16,NA,0,0,0
636,intra,HOT,HOTB,HOTB6,HOT_T4,PST_NaN,PST,NaN,i2j0,PST,4,4,NA,0,0,0
637,intra,HOT,HOTB,HOTB6,HOT_T4,PST_NaN,PST,NaN,i4j0,PST,4,8,NA,0,0,0
638,intra,HOT,HOTB,HOTB6,HOT_T4,PST_NaN,PST,NaN,i8j0,PST,4,16,NA,0,0,0
639,intra,HOT,HOTB,HOTB7,HOT_T4,PST_NaN,PST,NaN,i2j0,PST,4,4,NA,0,0,0
640,intra,HOT,HOTB,HOTB7,HOT_T4,PST_NaN,PST,NaN,i4j0,PST,4,8,NA,0,0,0
641,intra,HOT,HOTB,HOTB7,HOT_T4,PST_NaN,PST,NaN,i8j0,PST,4,16,NA,0,0,0
642,intra,HOT,HOTC,HOTC8,HOT_T6,PST_NaN,PST,NaN,i2j0,PST,4,4,NA,0,0,0
643,intra,HOT,HOTC,HOTC8,HOT_T6,PST_NaN,PST,NaN,i4j0,PST,4,8,NA,0,0,0
644,intra,HOT,HOTC,HOTC8,HOT_T6,PST_NaN,PST,NaN,i8j0,PST,4,16,NA,0,0,0
645,intra,HOT,HOTC,HOTC9,HOT_T6,PST_NaN,PST,NaN,i2j0,PST,4,4,NA,0,0,0
