treatment,species,distribution,gender,age,round,position,order,rep,kd.t,rc.t
5C,BUN,lowland,F,9,A,6,3,FA3,6,22
5C,BUN,lowland,F,9,A,6,4,FA4,6,33
5C,BUN,lowland,F,9,A,6,5,FA5,5,22
5C,BUN,lowland,F,9,A,6,6,FA6,5,33
5C,BUN,lowland,F,9,A,6,7,FA7,7,33
5C,SUL,widespread,F,9,A,7,1,FA1,4,16
5C,SUL,widespread,F,9,A,7,2,FA2,4,13
5C,SUL,widespread,F,9,A,7,3,FA3,5,23
5C,SUL,widespread,F,9,A,7,4,FA4,4,17
5C,SUL,widespread,F,9,A,7,5,FA5,5,16
5C,SUL,widespread,F,9,A,7,6,FA6,5,14
5C,SUL,widespread,F,9,A,7,7,FA7,5,17
5C,bir,widespread,F,9,A,8,1,FA1,8,20
5C,bir,widespread,F,9,A,8,2,FA2,5,18
5C,bir,widespread,F,9,A,8,3,FA3,6,17
5C,bir,widespread,F,9,A,8,4,FA4,6,20
5C,bir,widespread,F,9,A,8,5,FA5,4,18
5C,bir,widespread,F,9,A,8,6,FA6,4,18
5C,bir,widespread,F,9,A,8,7,FA7,5,31
5C,PAN,lowland,F,9,A,9,1,FA1,6,31
5C,PAN,lowland,F,9,A,9,2,FA2,6,17
5C,PAN,lowland,F,9,A,9,3,FA3,7,17
5C,PAN,lowland,F,9,A,9,4,FA4,5,18
5C,PAN,lowland,F,9,A,9,5,FA5,5,33
5C,PAN,lowland,F,9,A,9,6,FA6,5,17
5C,PAN,lowland,F,9,A,9,7,FA7,5,18
5C,PAL,highland,F,9,B,1,1,FB1,5,30
5C,PAL,highland,F,9,B,1,2,FB2,6,20
5C,PAL,highland,F,9,B,1,3,FB3,6,24
5C,PAL,highland,F,9,B,1,4,FB4,5,24
5C,PAL,highland,F,9,B,1,5,FB5,5,31
5C,PAL,highland,F,9,B,1,6,FB6,5,34
5C,PAL,highland,F,9,B,1,7,FB7,2,30
5C,SUL,widespread,F,9,B,2,1,FB1,4,20
5C,SUL,widespread,F,9,B,2,2,FB2,5,20
5C,SUL,widespread,F,9,B,2,3,FB3,5,21
5C,SUL,widespread,F,9,B,2,4,FB4,4,24
5C,SUL,widespread,F,9,B,2,5,FB5,6,20
5C,SUL,widespread,F,9,B,2,6,FB6,4,16
5C,SUL,widespread,F,9,B,2,7,FB7,4,23
5C,MEL,control,F,9,B,3,1,FB1,10,2
5C,MEL,control,F,9,B,3,2,FB2,14,2
5C,MEL,control,F,9,B,3,3,FB3,10,1
5C,MEL,control,F,9,B,3,4,FB4,6,1
5C,MEL,control,F,9,B,3,5,FB5,14,1
5C,MEL,control,F,9,B,3,6,FB6,9,2
5C,MEL,control,F,9,B,3,7,FB7,10,2
5C,PSA,widespread,F,9,B,4,1,FB1,7,15
5C,PSA,widespread,F,9,B,4,2,FB2,7,24
5C,PSA,widespread,F,9,B,4,3,FB3,5,24
5C,PSA,widespread,F,9,B,4,4,FB4,6,34
5C,PSA,widespread,F,9,B,4,5,FB5,6,34
5C,PSA,widespread,F,9,B,4,6,FB6,5,24
5C,PSA,widespread,F,9,B,4,7,FB7,4,23
5C,SIM,lowland,F,9,B,5,1,FB1,14,4
5C,SIM,lowland,F,9,B,5,2,FB2,13,14
5C,SIM,lowland,F,9,B,5,3,FB3,11,5
5C,SIM,lowland,F,9,B,5,4,FB4,10,12
5C,SIM,lowland,F,9,B,5,5,FB5,10,13
5C,SIM,lowland,F,9,B,5,6,FB6,9,9
5C,SIM,lowland,F,9,B,5,7,FB7,10,4
5C,BIP,lowland,F,9,B,6,1,FB1,6,14
5C,BIP,lowland,F,9,B,6,2,FB2,6,27
5C,BIP,lowland,F,9,B,6,3,FB3,6,30
5C,BIP,lowland,F,9,B,6,4,FB4,6,17
5C,BIP,lowland,F,9,B,6,5,FB5,6,17
5C,BIP,lowland,F,9,B,6,6,FB6,6,18
5C,BIP,lowland,F,9,B,6,7,FB7,6,26
5C,BUN,lowland,F,9,B,7,1,FB1,6,14
5C,BUN,lowland,F,9,B,7,2,FB2,5,14
5C,BUN,lowland,F,9,B,7,3,FB3,6,14
5C,BUN,lowland,F,9,B,7,4,FB4,5,40
5C,BUN,lowland,F,9,B,7,5,FB5,6,17
5C,BUN,lowland,F,9,B,7,6,FB6,6,14
5C,BUN,lowland,F,9,B,7,7,FB7,5,17
5C,PAN,lowland,F,9,B,8,1,FB1,6,30
5C,PAN,lowland,F,9,B,8,2,FB2,6,17
5C,PAN,lowland,F,9,B,8,3,FB3,6,27
5C,PAN,lowland,F,9,B,8,4,FB4,6,14
5C,PAN,lowland,F,9,B,8,5,FB5,7,16
5C,PAN,lowland,F,9,B,8,6,FB6,5,36
5C,PAN,lowland,F,9,B,8,7,FB7,5,18
5C,bir,widespread,F,9,B,9,1,FB1,6,19
5C,bir,widespread,F,9,B,9,2,FB2,8,30
5C,bir,widespread,F,9,B,9,3,FB3,5,30
5C,bir,widespread,F,9,B,9,4,FB4,5,35
5C,bir,widespread,F,9,B,9,5,FB5,5,41
5C,bir,widespread,F,9,B,9,6,FB6,5,29
5C,bir,widespread,F,9,B,9,7,FB7,4,34
5C,BIP,lowland,F,9,C,1,1,FC1,4,13
5C,BIP,lowland,F,9,C,1,2,FC2,5,13
5C,BIP,lowland,F,9,C,1,3,FC3,5,15
5C,BIP,lowland,F,9,C,1,4,FC4,4,14
5C,BIP,lowland,F,9,C,1,5,FC5,6,33
5C,BIP,lowland,F,9,C,1,6,FC6,5,26
5C,BIP,lowland,F,9,C,1,7,FC7,4,29
5C,bir,widespread,F,9,C,2,1,FC1,5,14
5C,bir,widespread,F,9,C,2,2,FC2,5,28
5C,bir,widespread,F,9,C,2,3,FC3,5,24
5C,bir,widespread,F,9,C,2,4,FC4,4,32
5C,bir,widespread,F,9,C,2,5,FC5,4,20
5C,bir,widespread,F,9,C,2,6,FC6,4,30
5C,bir,widespread,F,9,C,2,7,FC7,5,30
5C,BUN,lowland,F,9,C,3,1,FC1,5,15
5C,BUN,lowland,F,9,C,3,2,FC2,5,15
5C,BUN,lowland,F,9,C,3,3,FC3,5,14
5C,BUN,lowland,F,9,C,3,4,FC4,5,18
5C,BUN,lowland,F,9,C,3,5,FC5,5,18
5C,BUN,lowland,F,9,C,3,6,FC6,4,24
5C,BUN,lowland,F,9,C,3,7,FC7,4,16
5C,MEL,control,F,9,C,4,1,FC1,13,2
5C,MEL,control,F,9,C,4,2,FC2,13,2
5C,MEL,control,F,9,C,4,3,FC3,15,2
5C,MEL,control,F,9,C,4,4,FC4,17,2
